,,,,target,x,y,z
-179.837,0.200748,179.748, ,0,0.163000000000011,,
-179.836,0.202051,179.748, ,0,0.163999999999987,,
-179.836,0.203344,179.748, ,0,0.163999999999987,,
-179.835,0.204626,179.748, ,0,0.164999999999992,,
-179.835,0.205898,179.748, ,0,0.164999999999992,,
-179.834,0.207159,179.748, ,0,0.165999999999997,,
-179.833,0.208411,179.748, ,0,0.167000000000002,,
-179.833,0.209652,179.748, ,0,0.167000000000002,,
-179.832,0.210883,179.748, ,0,0.168000000000006,,
-179.831,0.212103,179.748, ,0,0.169000000000011,,
-179.831,0.213314,179.748, ,0,0.169000000000011,,
-179.83,0.214516,179.748, ,0,0.169999999999988,,
-179.83,0.215707,179.748, ,0,0.169999999999988,,
-179.829,0.216889,179.748, ,0,0.170999999999992,,
-179.828,0.218061,179.748, ,0,0.171999999999997,,
-179.828,0.219224,179.749, ,0,0.171999999999997,,
-179.827,0.220377,179.749, ,0,0.173000000000002,,
-179.827,0.221521,179.749, ,0,0.173000000000002,,
-179.826,0.222655,179.749, ,0,0.174000000000007,,
-179.826,0.22378,179.749, ,0,0.174000000000007,,
-179.825,0.224896,179.749, ,0,0.175000000000011,,
-179.824,0.226004,179.749, ,0,0.175999999999988,,
-179.824,0.227102,179.749, ,0,0.175999999999988,,
-179.823,0.228191,179.749, ,0,0.176999999999993,,
-179.823,0.229271,179.749, ,0,0.176999999999993,,
-179.822,0.230343,179.749, ,0,0.177999999999997,,
-179.822,0.231405,179.749, ,0,0.177999999999997,,
-179.821,0.23246,179.749, ,0,0.179000000000002,,
-179.821,0.233505,179.749, ,0,0.179000000000002,,
-179.82,0.234542,179.749, ,0,0.180000000000007,,
-179.82,0.235571,179.749, ,0,0.180000000000007,,
-179.819,0.236591,179.749, ,0,0.181000000000012,,
-179.819,0.237603,179.749, ,0,0.181000000000012,,
-179.818,0.238607,179.749, ,0,0.181999999999988,,
-179.818,0.239603,179.749, ,0,0.181999999999988,,
-179.817,0.24059,179.749, ,0,0.182999999999993,,
-179.817,0.24157,179.749, ,0,0.182999999999993,,
-179.816,0.242542,179.749, ,0,0.183999999999998,,
-179.816,0.243505,179.749, ,0,0.183999999999998,,
-179.815,0.244461,179.749, ,0,0.185000000000002,,
-179.815,0.245409,179.749, ,0,0.185000000000002,,
-179.814,0.24635,179.749, ,0,0.186000000000007,,
-179.814,0.247282,179.749, ,0,0.186000000000007,,
-179.813,0.248207,179.749, ,0,0.187000000000012,,
-179.813,0.249125,179.749, ,0,0.187000000000012,,
-179.812,0.250035,179.749, ,0,0.187999999999988,,
-179.812,0.250938,179.749, ,0,0.187999999999988,,
-179.811,0.251834,179.749, ,0,0.188999999999993,,
-179.811,0.252722,179.749, ,0,0.188999999999993,,
-179.811,0.253603,179.749, ,0,0.188999999999993,,
-179.81,0.254477,179.749, ,0,0.189999999999998,,
-179.81,0.255343,179.749, ,0,0.189999999999998,,
-179.809,0.256203,179.749, ,0,0.191000000000003,,
-179.809,0.257056,179.749, ,0,0.191000000000003,,
-179.808,0.257901,179.749, ,0,0.192000000000007,,
-179.808,0.25874,179.749, ,0,0.192000000000007,,
-179.808,0.259572,179.749, ,0,0.192000000000007,,
-179.807,0.260397,179.749, ,0,0.193000000000012,,
-179.807,0.261216,179.749, ,0,0.193000000000012,,
-179.806,0.262028,179.749, ,0,0.193999999999988,,
-179.806,0.262833,179.749, ,0,0.193999999999988,,
-179.806,0.263632,179.749, ,0,0.193999999999988,,
-179.805,0.264424,179.749, ,0,0.194999999999993,,
-179.805,0.26521,179.749, ,0,0.194999999999993,,
-179.804,0.26599,179.749, ,0,0.195999999999998,,
-179.804,0.266763,179.749, ,0,0.195999999999998,,
-179.804,0.26753,179.749, ,0,0.195999999999998,,
-179.803,0.26829,179.749, ,0,0.197000000000003,,
-179.803,0.269045,179.749, ,0,0.197000000000003,,
